variable,value,name,shortname
sex,0,male,M
sex,1,female,F
mother_cob,1,Australia,Aus
mother_cob,2,United Kingdom,UK
mother_cob,3,Europe,Eur
mother_cob,4,Middle East,Mid East
mother_cob,5,Africa,Africa
mother_cob,6,South America,Sth America
mother_cob,7,North America,Nth America
mother_cob,8,Oceania,Oceania
mother_cob,9,South Asia,Sth Asia
mother_cob,10,Far East,Far East
father_cob,1,Australia,Aus
father_cob,2,United Kingdom,UK
father_cob,3,Europe,Eur
father_cob,4,Middle East,Mid East
father_cob,5,Africa,Africa
father_cob,6,South America,Sth America
father_cob,7,North America,Nth America
father_cob,8,Oceania,Oceania
father_cob,9,South Asia,Sth Asia
father_cob,10,Far East,Far East
fh_food_allergy,0,No Family History Food Allergy,No Family Allergy
fh_food_allergy,1,Family History Food Allergy,Family Allergy
dog,0,not dog owner,no dog
dog,1,dog owner,dog
eczema_diagnosis_1y,0,no eczema diagnosed 1 year,no eczema (1y)
eczema_diagnosis_1y,1,eczema diagnosed 1 year,eczema (1y)
egg_SPT_4y,0,no egg skin prick test 4 years,no egg SPT (4y)
egg_SPT_4y,1,egg skin prick test 4 years,egg SPT (4y)
peanut_SPT_4y,0,no peanut skin prick test 4 years,no peanut SPT 4y
peanut_SPT_4y,1,peanut skin prick test 4 years,peanut SPT 4y
sesame_SPT_4y,0,no sesame skin prick test 4 years,no sesame SPT 4y
sesame_SPT_4y,1,sesame skin prick test 4 years,sesame SPT 4y
egg_allergy_4y,0,no egg allergy diagnosis 4 years,no egg allergy 4y
egg_allergy_4y,1,egg allergy diagnosis 4 years,egg allergy 4y
peanut_allergy_4y,0,no peanut allergy diagnosis 4 years,no peanut allergy 4y
peanut_allergy_4y,1,peanut allergy diagnosis 4 years,peanut allergy 4y
sesame_allergy_4y,0,no sesame allergy diagnosis 4 years,no sesame allergy 4y
sesame_allergy_4y,1,sesame allergy diagnosis 4 years,sesame allergy 4y
any_foodal_4y,0,no any food allergy 4 years,no any foodal 4y
any_foodal_4y,1,any food allergy 4 years,any foodal 4y
rs7927894_T,0,no gene rs7927894_T,no rs7927894_T
rs7927894_T,1,gene rs7927894_T,rs7927894_T
rs3091307_G,0,no gene rs3091307_G,no rs3091307_G
rs3091307_G,1,gene rs3091307_G,rs3091307_G
rs1800925_T,0,no gene rs1800925_T,rs1800925_T
rs1800925_T,1,gene rs1800925_T,rs1800925_T
rs1295687_G,0,no gene rs1295687_G,rs1295687_G
rs1295687_G,1,gene rs1295687_G,rs1295687_G
rs1295686_A,0,no gene rs1295686_A,rs1295686_A
rs1295686_A,1,gene rs1295686_A,rs1295686_A
rs1295683_T,0,no gene rs1295683_T,rs1295683_T
rs1295683_T,1,gene rs1295683_T,rs1295683_T
rs2243297_A,0,no gene rs2243297_A,rs2243297_A
rs2243297_A,1,gene rs2243297_A,rs2243297_A
rs2243211_A,0,no gene rs2243211_A,rs2243211_A
rs2243211_A,1,gene rs2243211_A,rs2243211_A
rs2243300_T,0,no gene rs2243300_T,rs2243300_T
rs2243300_T,1,gene rs2243300_T,rs2243300_T
rs2243248_G,0,no gene rs2243248_G,rs2243248_G
rs2243248_G,1,gene rs2243248_G,rs2243248_G
rs17118938_G,0,no gene rs17118938_G,rs17118938_G
rs17118938_G,1,gene rs17118938_G,rs17118938_G
rs4912715_A,0,no gene rs4912715_A,rs4912715_A
rs4912715_A,1,gene rs4912715_A,rs4912715_A
rs702401_A,0,no gene rs702401_A,rs702401_A
rs702401_A,1,gene rs702401_A,rs702401_A
rs778607_T,0,no gene rs778607_T,rs778607_T
rs778607_T,1,gene rs778607_T,rs778607_T
rs11167532_A,0,no gene rs11167532_A,rs11167532_A
rs11167532_A,1,gene rs11167532_A,rs11167532_A
rs7721577_C,0,no gene rs7721577_C,rs7721577_C
rs7721577_C,1,gene rs7721577_C,rs7721577_C
rs11574651_T,0,no gene rs11574651_T,rs11574651_T
rs11574651_T,1,gene rs11574651_T,rs11574651_T
rs4914_G,0,no gene rs4914_G,rs4914_G
rs4914_G,1,gene rs4914_G,rs4914_G
rs2569190_A,0,no gene rs2569190_A,rs2569190_A
rs2569190_A,1,gene rs2569190_A,rs2569190_A
rs7719581_C,0,no gene rs7719581_C,no rs7719581_C
rs7719581_C,1,gene rs7719581_C,rs7719581_C
rs7715716_G,0,no gene rs7715716_G,no rs7715716_G
rs7715716_G,1,gene rs7715716_G,rs7715716_G
rs1153090_A,0,no gene rs1153090_A,no rs1153090_A
rs1153090_A,1,gene rs1153090_A,rs1153090_A
rs6884703_C,0,no gene rs6884703_C,no rs6884703_C
rs6884703_C,1,gene rs6884703_C,rs6884703_C
rs1432975_T,0,no gene rs1432975_T,no rs1432975_T
rs1432975_T,1,gene rs1432975_T,rs1432975_T
rs7704889_A,0,no gene rs7704889_A,no rs7704889_A
rs7704889_A,1,gene rs7704889_A,rs7704889_A
rs4705047_T,0,no gene rs4705047_T,no rs4705047_T
rs4705047_T,1,gene rs4705047_T,rs4705047_T
rs7709676_T,0,no gene rs7709676_T,no rs7709676_T
rs7709676_T,1,gene rs7709676_T,rs7709676_T
rs1862330_T,0,no gene rs1862330_T,no rs1862330_T
rs1862330_T,1,gene rs1862330_T,rs1862330_T
rs6874765_A,0,no gene rs6874765_A,no rs6874765_A
rs6874765_A,1,gene rs6874765_A,rs6874765_A
rs1864997_G,0,no gene rs1864997_G,no rs1864997_G
rs1864997_G,1,gene rs1864997_G,rs1864997_G
rs17107473_A,0,no gene rs17107473_A,no rs17107473_A
rs17107473_A,1,gene rs17107473_A,rs17107473_A
rs17718041_T,0,no gene rs17718041_T,no rs17718041_T
rs17718041_T,1,gene rs17718041_T,rs17718041_T
rs7732713_T,0,no gene rs7732713_T,no rs7732713_T
rs7732713_T,1,gene rs7732713_T,rs7732713_T
rs7721995_T,0,no gene rs7721995_T,no rs7721995_T
rs7721995_T,1,gene rs7721995_T,rs7721995_T
rs6867877_A,0,no gene rs6867877_A,no rs6867877_A
rs6867877_A,1,gene rs6867877_A,rs6867877_A
rs1422589_G,0,no gene rs1422589_G,no rs1422589_G
rs1422589_G,1,gene rs1422589_G,rs1422589_G
rs10515597_A,0,no gene rs10515597_A,no rs10515597_A
rs10515597_A,1,gene rs10515597_A,rs10515597_A
rs1422587_A,0,no gene rs1422587_A,no rs1422587_A
rs1422587_A,1,gene rs1422587_A,rs1422587_A
rs10515601_T,0,no gene rs10515601_T,no rs10515601_T
rs10515601_T,1,gene rs10515601_T,rs10515601_T
rs17704205_T,0,no gene rs17704205_T,no rs17704205_T
rs17704205_T,1,gene rs17704205_T,rs17704205_T
rs1345689_G,0,no gene rs1345689_G,no rs1345689_G
rs1345689_G,1,gene rs1345689_G,rs1345689_G
rs13436856_T,0,no gene rs13436856_T,no rs13436856_T
rs13436856_T,1,gene rs13436856_T,rs13436856_T
rs6894548_A,0,no gene rs6894548_A,no rs6894548_A
rs6894548_A,1,gene rs6894548_A,rs6894548_A
rs4421091_G,0,no gene rs4421091_G,no rs4421091_G
